"type","tag","title","author","year","volume","number","journal","pages","editor","booktitle","publisher","address","doi","misc","report","keywords","url","Link","keyword1","keyword2","keyword3","keyword4","keyword5","...25"
"techreport","tbep0323","2022 Tampa Bay Water Quality Assessment","M.W. Beck, M.C. Burke, E.T. Sherwood","2023","NA","#03-23","NA","2","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#03-23","status and trends, water quality, chlorophyll, light attenuation, seagrass","https://drive.google.com/file/d/1RsRYmaF9ykxhw3L15YqOI9AE--sog6ib/view?usp=sharing","<a href=""https://drive.google.com/file/d/1RsRYmaF9ykxhw3L15YqOI9AE--sog6ib/view?usp=sharing"">View Document</a>","status and trends","water quality","chlorophyll","light attenuation","seagrass",NA
"article","tbep0223","Addressing climate change and development pressures in an urban estuary through habitat restoration planning","M.W. Beck, D.E. Robison, G.E. Raulerson, M.C. Burke, J. Saarinen, C. Sciarrino, E.T. Sherwood and D. Tomasko","2023","11","NULL","Frontiers in Ecology and Evolution","1070266","NA","NA","Frontiers in Ecology and Evolution","NA","https://doi.org/10.3389/fevo.2023.1070266","NA","#02-23","bay habitats, spatial analysis, climate change, program guidance, open science","https://doi.org/10.3389/fevo.2023.1070266","<a href=""https://doi.org/10.3389/fevo.2023.1070266"">View Document</a>","bay habitats","spatial analysis","climate change","program guidance","open science",NA
"techreport","tbep0123","Critical Coastal Habitat Assessment: Quality Assurance Project Plan","K.R. Radabaugh, K.E. Flaherty-Walia, and M.W. Beck","2023","NA","#01-23","NA","33","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#01-23","bay habitats, climate change, monitoring, transect, sea level rise","https://drive.google.com/file/d/1DmL27XGh5Tp8OM1fGcjYikW3Yi9BJ7sp/view?usp=share_link","<a href=""https://drive.google.com/file/d/1DmL27XGh5Tp8OM1fGcjYikW3Yi9BJ7sp/view?usp=share_link"">View Document</a>","bay habitats","climate change","monitoring","transect","sea level rise",NA
"techreport","tbep1222","Lake Manatee Watershed Improvement Project Baseline Environmental Report","Manatee County Parks and Natural Resources Department","2022","12","#12-22","NA","44","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#12-22","TBERF, restoration, assessment, spatial analysis, fish and wildlife","https://drive.google.com/file/d/1gRahSeLd_DempbNYW45VruBbCrlp5OVg/view?usp=share_link","<a href=""https://drive.google.com/file/d/1gRahSeLd_DempbNYW45VruBbCrlp5OVg/view?usp=share_link"">View Document</a>","TBERF","restoration","assessment","spatial analysis","fish and wildlife",NA
"article","tbep1122","Assessing per- and polyfluoroalkyl substances (PFAS) in sediments and fishes in a large, urbanized estuary and the potential human health implications","E.L. Pulster, K. Rullo , S. Gilbert, T.M. Ash, B. Goetting, K. Campbell, S.A. Markham, and S.A. Murawski","2022","9","#11-22","Frontiers in Marine Science","16","NA","NA","Frontiers in Marine Science","NA","https://doi.org/10.3389/fmars.2022.1046667","NA","#11-22","TBERF, contaminants, benthos, fish and wildlife","https://doi.org/10.3389/fmars.2022.1046667","<a href=""https://doi.org/10.3389/fmars.2022.1046667"">View Document</a>","TBERF","contaminants","benthos","fish and wildlife",NA,NA
"techreport","tbep1022","Recommendations for sampling effort of vegetation communities in the Critical Coastal Habitat Assessment","M.W. Beck, K.R. Radabaugh, and K.E. Flaherty-Walia","2022","NA","#10-22","NA","40","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","https://doi.org/10.5281/zenodo.7386517","NA","#10-22","assessment, bay habitats, climate change, monitoring, sea level rise","https://drive.google.com/file/d/1FAQFdw5oXunCQe-wGrwvnnOGTqaIHdFE/view?usp=share_link","<a href=""https://drive.google.com/file/d/1FAQFdw5oXunCQe-wGrwvnnOGTqaIHdFE/view?usp=share_link"">View Document</a>","assessment","bay habitats","climate change","monitoring","sea level rise",NA
"techreport","tbep0922","Intertidal Elevation Changes on a Living Shoreline Stabilization at Lassing Park, St. Petersburg, FL","C.A. Craig, S. Hearne, R.P. Moyer, R.Radigan, S. Herndon, and K.R. Radabaugh","2022","NA","#09-22","NA","20","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#09-22","bay habitats, restoration, spatial analysis","https://drive.google.com/file/d/1Y-ny-s7SCcdavKYCmp-FuiyNo-6WAGKo/view?usp=sharing","<a href=""https://drive.google.com/file/d/1Y-ny-s7SCcdavKYCmp-FuiyNo-6WAGKo/view?usp=sharing"">View Document</a>","bay habitats","restoration","spatial analysis",NA,NA,NA
"techreport","tbep0822","Designing a Genetic Algorithm for the Selection of Causeway Cut-Throughs in Old Tampa Bay: Planning and Prototyping","M.E. Luther, S.D. Meyers","2022","NA","#08-22","NA","11","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#08-22","modelling, water quality, harmful algal blooms","https://drive.google.com/file/d/1-1Jq9vly5EvVwEp698brlBucXjSMDbNn/view?usp=sharing","<a href=""https://drive.google.com/file/d/1-1Jq9vly5EvVwEp698brlBucXjSMDbNn/view?usp=sharing"">View Document</a>","modelling","water quality","harmful algal blooms",NA,NA,NA
"techreport","tbep0722","The use of Staphylococcus aureus and MRSA as an indicator of human pollution in Tampa Bay","B. Froeschke, Osovitz, M., and Tracy Zontek, T.","2022","NA","#07-22","NA","24","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#07-22","TBERF, pathogens, water quality","https://drive.google.com/file/d/1dALt5v1Le2IrSfPVIHps6yhgLnnu0T9p/view?usp=sharing","<a href=""https://drive.google.com/file/d/1dALt5v1Le2IrSfPVIHps6yhgLnnu0T9p/view?usp=sharing"">View Document</a>","TBERF","pathogens","water quality",NA,NA,NA
"techreport","tbep0622","Optical Model Evaluation of  the Recent Underwater Light Climate in the Northern Segments of  Tampa Bay and its Potential Influence on
Seagrass Abundance and Growth","J.O.R. Johansson","2022","NA","#06-22","NA","107","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#06-22","seagrass, chlorophyll, light attenuation, water quality, modelling","https://drive.google.com/file/d/1qaM852mkVkRyjwU8yZjlmZqMy1ROpcZi/view?usp=sharing","<a href=""https://drive.google.com/file/d/1qaM852mkVkRyjwU8yZjlmZqMy1ROpcZi/view?usp=sharing"">View Document</a>","seagrass","chlorophyll","light attenuation","water quality","modelling",NA
"techreport","tbep0522","Pipe Up: A social marketing campaign to reduce nutrient and bacteriological pollution in Tampa Bay","Marketing for Change","2022","NA","#05-22","NA","19","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#05-22","wastewater, water quality, education","https://drive.google.com/file/d/1ClsjavjeUZgKuT56XScVYdnwXKX3_uOE/view?usp=sharing","<a href=""https://drive.google.com/file/d/1ClsjavjeUZgKuT56XScVYdnwXKX3_uOE/view?usp=sharing"">View Document</a>","wastewater","water quality","education",NA,NA,NA
"techreport","tbep0422","2021 Tampa Bay Estuary Nutrient Management Compliance Assessment","M. Beck, M. Burke, E. Sherwood","2022","NA","#04-22","NA","12","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#04-22","water quality, assessment, chlorophyll, seagrass","https://drive.google.com/file/d/1Ncf6qjNb9cQrYK__u4CgpucikHvILgrH/view?usp=sharing","<a href=""https://drive.google.com/file/d/1Ncf6qjNb9cQrYK__u4CgpucikHvILgrH/view?usp=sharing"">View Document</a>","water quality","assessment","chlorophyll","seagrass",NA,NA
"article","tbep0322","Initial Estuarine Response to Inorganic Nutrient Inputs from a Legacy Mining Facility Adjacent to Tampa Bay, Florida","M.W. Beck, A. Altieri, C. Angelini, M.C. Burke, J. Chen, D.W. Chin, J. Gardiner, C. Hu, K.A. Hubbard, Y. Liu, C. Lopez, M. Medina, E. Morrison, E.J. Phlips, G.E. Raulerson, S. Scolaro, E.T. Sherwood, D. Tomasko, R.H. Weisberg, J. Whalen","2022","178","NA","Marine Pollution Bulletin","113598","NA","NA","Marine Pollution Bulletin","NA","https://doi.org/10.1016/j.marpolbul.2022.113598","NA","#03-22","harmful algal blooms, water quality, spills, nitrogen, seagrass","https://doi.org/10.1016/j.marpolbul.2022.113598","<a href=""https://doi.org/10.1016/j.marpolbul.2022.113598"">View Document</a>","harmful algal blooms","water quality","spills","nitrogen","seagrass",NA
"techreport","tbep0222","Indices of health and grazing in the eastern oyster, Crassostrea virginica, during a toxic Pyrodinium bahamense bloom","C.B. Lopez, S.G. Kaminski, S. Shankar, J. Abbott, L. Eguia, M. Garrett, S. Geiger, L.J. Flewelling, K.A. Hubbard, and C. Kirby","2022","na","#02-22","na","30","na","na","Tampa Bay Estuary Program","St. Petersburg, Florida","na","na","#02-22","harmful algal blooms, shellfish, chlorophyll, water quality, monitoring","https://drive.google.com/file/d/1w9B-I_Rvhq3-78Ilke_AGdWCJ6hS3L4b/view?usp=sharing","<a href=""https://drive.google.com/file/d/1w9B-I_Rvhq3-78Ilke_AGdWCJ6hS3L4b/view?usp=sharing"">View Document</a>","harmful algal blooms","shellfish","chlorophyll","water quality","monitoring",NA
"techreport","tbep0122","2021 Tampa Bay Water Quality Assessment","M. Beck, M. Burke, G. Raulerson","2022","NA","#01-22","NA","2","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#01-22","status and trends, water quality, chlorophyll, light attenuation, seagrass","https://drive.google.com/file/d/1HcvOFtfM0wowc-UZ7mq9m0cdgYlf4KQn/view?usp=sharing","<a href=""https://drive.google.com/file/d/1HcvOFtfM0wowc-UZ7mq9m0cdgYlf4KQn/view?usp=sharing"">View Document</a>","status and trends","water quality","chlorophyll","light attenuation","seagrass",NA
"article","tbep2121","Restoration objectives create surface carbon cycle trade-offs in coastal habitats","B. Oberle, J. Breithaupt, A.M. McTigue, R. Stryker, M. Cladas, G. Raulerson, D.F. Young","2021","NA","NA","Restoration Ecology","NA","NA","NA","Restoration Ecology","NA","https://doi.org/10.1111/rec.13563","NA","#21-21","citizen science, climate change, restoration, bay habitats","https://doi.org/10.1111/rec.13563","<a href=""https://doi.org/10.1111/rec.13563"">View Document</a>","citizen science","climate change","restoration","bay habitats",NA,NA
"article","tbep2021","Using Localized Twitter Activity to Assess Harmful Algal Bloom Impacts of Karenia brevis in Florida, USA","A. Skripnikov, N. Wagner, J. Shafer, M.W. Beck, E.T. Sherwood, M.C. Burke","2021","110","NA","Harmful Algae","102118","NA","NA","Harmful Algae","NA","https://doi.org/10.1016/j.hal.2021.102118","NA","#20-21","TBERF, recreation, monitoring, harmful algal blooms","https://doi.org/10.1016/j.hal.2021.102118","<a href=""https://doi.org/10.1016/j.hal.2021.102118"">View Document</a>","TBERF","recreation","monitoring","harmful algal blooms",NA,NA
"techreport","tbep1921","Philippe Park Seawall Wave Monitoring: Quality Assurance Project Plan","M. Luther, S. Meyers, R. Burnes, S. Day, G. Raulerson","2021","NA","#19-21","NA","17","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#19-21","bay habitats, restoration, assessment, modelling, shipping","https://drive.google.com/file/d/1ObsAo7ugb7-_HYzg-47VzEiDmRt1LGEX/view?usp=sharing","<a href=""https://drive.google.com/file/d/1ObsAo7ugb7-_HYzg-47VzEiDmRt1LGEX/view?usp=sharing"">View Document</a>","bay habitats","restoration","assessment","modelling","shipping",NA
